user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
la_chunnti,mad_eye,901554105990111232,2017-08-26 21:17:03,/la_chunnti/status/901554105990111232,0,1,0,My pregnancy cravings are real @SUBWAY can I have a gift card for me and the baby  please,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My pregnancy cravings are real <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> can I have a gift card for me and the baby <img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/> please</p>"
1973maryann,MaryAnn,901553298674790400,2017-08-26 21:13:51,/1973maryann/status/901553298674790400,0,1,0,@SUBWAYpic.twitter.com/bVrG7ruHE4,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/bVrG7ruHE4"">pic.twitter.com/bVrG7ruHE4</a></p>"
1973maryann,MaryAnn,901551326651441157,2017-08-26 21:06:00,/1973maryann/status/901551326651441157,0,0,0,@SUBWAY y'all seriously need to do something about your store in Kerrville Texas 5 workers but nobody moving couldn't get what I wanted,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> y'all seriously need to do something about your store in Kerrville Texas 5 workers but nobody moving couldn't get what I wanted</p>"
BalthiersGuns,Son of Arathorn,901543645790318594,2017-08-26 20:35:29,/BalthiersGuns/status/901543645790318594,0,2,0,@SUBWAY got served at your grand haven location next to Russ and I have NEVER been treated so horribly as I was by an employee named Isaac.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> got served at your grand haven location next to Russ and I have NEVER been treated so horribly as I was by an employee named Isaac.</p>"
Mariaa_Thereza,Maria,901537047210590209,2017-08-26 20:09:16,/Mariaa_Thereza/status/901537047210590209,0,0,0,@SUBWAY  me contratapic.twitter.com/EkFerMAIpm,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a>  me contrata<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/EkFerMAIpm"">pic.twitter.com/EkFerMAIpm</a></p>"
SydneyWins22,Insydious,901527146513915904,2017-08-26 19:29:55,/SydneyWins22/status/901527146513915904,1,0,0,.@theodd1sout they think 6 olives is packed to the max,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">.<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1537083344"" dir=""ltr"" href=""/theodd1sout""><s>@</s><b>theodd1sout</b></a> they think 6 olives is packed to the max</p>"
Hamhd101,Ham_hd,901519334362816513,2017-08-26 18:58:53,/Hamhd101/status/901519334362816513,0,0,0,@SUBWAY Yo you wanna give me a years supply of your cookies? They're actually amazing.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> Yo you wanna give me a years supply of your cookies? They're actually amazing.</p>"
ManMan23151,Lenny,901504515358281728,2017-08-26 18:00:00,/ManMan23151/status/901504515358281728,0,0,0,@SUBWAY HOW LONG TIME NO IM NOT WILL SMITH,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> HOW LONG TIME NO IM NOT WILL SMITH</p>"
eugovvogue, 🏍 🏍,901499927876034560,2017-08-26 17:41:46,/eugovvogue/status/901499927876034560,0,0,0,@SUBWAY menu letters are too small,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> menu letters are too small</p>"
krohn_onthecob,victoria,901498972161945600,2017-08-26 17:37:58,/krohn_onthecob/status/901498972161945600,5,0,1,@SUBWAY thanks for supporting UNA volleyball!! @Roarlionsvb_UNApic.twitter.com/9iwnPi09OP,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> thanks for supporting UNA volleyball!! @Roarlionsvb_UNA<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/9iwnPi09OP"">pic.twitter.com/9iwnPi09OP</a></p>"
nat_larimer,Nat L’ 〽️er,901496145431502849,2017-08-26 17:26:44,/nat_larimer/status/901496145431502849,0,1,0,@SUBWAY you should make yellow mustard an option again,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> you should make yellow mustard an option again</p>"
andrewwallenn,andrew wallen,901491998238146561,2017-08-26 17:10:15,/andrewwallenn/status/901491998238146561,1,0,0,@subway cookies are too good,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>subway</b></a> cookies are too good</p>"
Scubadiving69,NASA,901491653348929536,2017-08-26 17:08:53,/Scubadiving69/status/901491653348929536,0,1,0,@SUBWAY soo i was enjoying my ham sandwich and happened to stumble upon a piece of plastic inside my sandwich .... any explanation?pic.twitter.com/L9tlfItDrw,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> soo i was enjoying my ham sandwich and happened to stumble upon a piece of plastic inside my sandwich .... any explanation?<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/L9tlfItDrw"">pic.twitter.com/L9tlfItDrw</a></p>"
Imthejenn,Jennifer Wilson,901476641880264704,2017-08-26 16:09:14,/Imthejenn/status/901476641880264704,0,1,0,@SUBWAY I love you but your app is difficult to use and doesn't provide the info I need. :(pic.twitter.com/pzOcGTeR63,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> I love you but your app is difficult to use and doesn't provide the info I need. :(<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/pzOcGTeR63"">pic.twitter.com/pzOcGTeR63</a></p>"
couldbebianca,Bianca  ☁,901594316908273664,2017-08-26 23:56:50,/couldbebianca/status/901594316908273664,0,1,0,What if i want the confetti tho?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What if i want the confetti tho?</p>"
EphraimSalaam,Ephraim Salaam,901587606319726592,2017-08-26 23:30:10,/EphraimSalaam/status/901587606319726592,1,6,2,@SUBWAY not sure if this is sanitary having random dog behind the counter. While my food is being prepared.pic.twitter.com/ykERPDgo16,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> not sure if this is sanitary having random dog behind the counter. While my food is being prepared.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ykERPDgo16"">pic.twitter.com/ykERPDgo16</a></p>"
roseeb96,Rose Bailey 🌹,901579898703142912,2017-08-26 22:59:33,/roseeb96/status/901579898703142912,0,1,0,@SUBWAY you should deliver pls,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> you should deliver pls</p>"
Skylan57601489,Skylan,901571841021665285,2017-08-26 22:27:31,/Skylan57601489/status/901571841021665285,1,0,0,@subway surfer this shit is one of the best games too have on your phone and it is addictive shit I am too get on it now....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>subway</b></a> surfer this shit is one of the best games too have on your phone and it is addictive shit I am too get on it now....</p>"
only1raxo,R?XO,901571140480585728,2017-08-26 22:24:44,/only1raxo/status/901571140480585728,0,0,0,"I need a raise , I work at subway at Pasadena tx , the one in front of bullritos","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I need a raise , I work at subway at Pasadena tx , the one in front of bullritos</p>"
zitoxicboy,Breakfast-Man,901562869174513665,2017-08-26 21:51:52,/zitoxicboy/status/901562869174513665,0,0,0,@SUBWAY by the way I always order the privilege white bread. It's delicious on top of all the underprivileged dark meat. @OpinionOnion7pic.twitter.com/T1jHEWUM3t,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> by the way I always order the privilege white bread. It's delicious on top of all the underprivileged dark meat. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""709136798946107393"" dir=""ltr"" href=""/OpinionOnion7""><s>@</s><b>OpinionOnion7</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/T1jHEWUM3t"">pic.twitter.com/T1jHEWUM3t</a></p>"
la_chunnti,mad_eye,901554105990111232,2017-08-26 21:17:03,/la_chunnti/status/901554105990111232,0,1,0,My pregnancy cravings are real @SUBWAY can I have a gift card for me and the baby  please,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My pregnancy cravings are real <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> can I have a gift card for me and the baby <img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/> please</p>"
1973maryann,MaryAnn,901553298674790400,2017-08-26 21:13:51,/1973maryann/status/901553298674790400,0,1,0,@SUBWAYpic.twitter.com/bVrG7ruHE4,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/bVrG7ruHE4"">pic.twitter.com/bVrG7ruHE4</a></p>"
1973maryann,MaryAnn,901551326651441157,2017-08-26 21:06:00,/1973maryann/status/901551326651441157,0,0,0,@SUBWAY y'all seriously need to do something about your store in Kerrville Texas 5 workers but nobody moving couldn't get what I wanted,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> y'all seriously need to do something about your store in Kerrville Texas 5 workers but nobody moving couldn't get what I wanted</p>"
BalthiersGuns,Son of Arathorn,901543645790318594,2017-08-26 20:35:29,/BalthiersGuns/status/901543645790318594,0,2,0,@SUBWAY got served at your grand haven location next to Russ and I have NEVER been treated so horribly as I was by an employee named Isaac.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> got served at your grand haven location next to Russ and I have NEVER been treated so horribly as I was by an employee named Isaac.</p>"
Mariaa_Thereza,Maria,901537047210590209,2017-08-26 20:09:16,/Mariaa_Thereza/status/901537047210590209,0,0,0,@SUBWAY  me contratapic.twitter.com/EkFerMAIpm,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a>  me contrata<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/EkFerMAIpm"">pic.twitter.com/EkFerMAIpm</a></p>"
SydneyWins22,Insydious,901527146513915904,2017-08-26 19:29:55,/SydneyWins22/status/901527146513915904,1,0,0,.@theodd1sout they think 6 olives is packed to the max,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">.<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1537083344"" dir=""ltr"" href=""/theodd1sout""><s>@</s><b>theodd1sout</b></a> they think 6 olives is packed to the max</p>"
Hamhd101,Ham_hd,901519334362816513,2017-08-26 18:58:53,/Hamhd101/status/901519334362816513,0,0,0,@SUBWAY Yo you wanna give me a years supply of your cookies? They're actually amazing.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> Yo you wanna give me a years supply of your cookies? They're actually amazing.</p>"
ManMan23151,Lenny,901504515358281728,2017-08-26 18:00:00,/ManMan23151/status/901504515358281728,0,0,0,@SUBWAY HOW LONG TIME NO IM NOT WILL SMITH,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> HOW LONG TIME NO IM NOT WILL SMITH</p>"
eugovvogue, 🏍 🏍,901499927876034560,2017-08-26 17:41:46,/eugovvogue/status/901499927876034560,0,0,0,@SUBWAY menu letters are too small,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> menu letters are too small</p>"
krohn_onthecob,victoria,901498972161945600,2017-08-26 17:37:58,/krohn_onthecob/status/901498972161945600,5,0,1,@SUBWAY thanks for supporting UNA volleyball!! @Roarlionsvb_UNApic.twitter.com/9iwnPi09OP,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> thanks for supporting UNA volleyball!! @Roarlionsvb_UNA<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/9iwnPi09OP"">pic.twitter.com/9iwnPi09OP</a></p>"
nat_larimer,Nat L’ 〽️er,901496145431502849,2017-08-26 17:26:44,/nat_larimer/status/901496145431502849,0,1,0,@SUBWAY you should make yellow mustard an option again,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20632796"" dir=""ltr"" href=""/SUBWAY""><s>@</s><b>SUBWAY</b></a> you should make yellow mustard an option again</p>"
